"","Amplitude_ID","Total_Events","Total_Sessions","Usage_Min","First_Seen","Last_Seen","Num_Purchases","Total_Spent","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"1","7607370819",2,1,0.5,2016-06-28,2016-06-28,0,0,"CloudKit-968549417df043b90caa44e830bdd57b939834ef036ad102b2baee00d02412e32bbc0c40a787d51f474bab4b570d38f16567b9ada88ac6582c123197475099c8","Verizon","Saint Paul","United States","Apple iPhone","Apple iPhone 6s","Minneapolis-St. Paul, MN","68.54.17.209","English","amplitude-ios/3.7.0","ios 9.3.2",FALSE,"iOS","Minnesota","3.3.3","3.3.3",0,0,FALSE,3067,0,TRUE,0,FALSE
"2","7803601245",34,1,3,2016-07-04,2016-07-04,0,0,"CloudKit-960da98fd5f510032b156fef384b3ecdab3d8ab5a049fad882b88489e533358ea878ae5804c13e5245976a9b5c1cdbd6e2f81fb1157a6ff1959eb1999427607e","Carrier","Klaipėda","Lithuania","Apple iPad","Apple iPad 3","","78.57.199.122","English","amplitude-ios/3.8.1","ios 9.2",FALSE,"iOS","Klaipėda County","3.4.0","3.4.0",0,0,FALSE,1530,0,TRUE,1,FALSE
"3","5876141805",153,6,7,2016-05-01,2016-07-06,0,0,"","中国移动","Shenzhen","China","Apple iPhone","Apple iPhone 6s Plus","","117.136.31.239","Chinese","amplitude-ios/3.8.1","ios 9.2.1",FALSE,"iOS","Guangdong","3.3.2","3.4.0",0,0,FALSE,1695,1,TRUE,2,FALSE
"4","6589315610",24,2,3,2016-02-08,2016-06-27,0,0,"CloudKit-c75c63e8716ba960194fa3864ee4e0d18872db40b79ad35b8d3d9c0b47aee796519305128eb58710db33112810a7bcd61468869b419948db637d6dd4c84a431d","Proximus","Valencia","Spain","Apple iPhone","Apple iPhone 6","","90.174.4.120","English","amplitude-ios/3.7.0","ios 9.3.2",FALSE,"iOS","Valencia","","3.3.3",0,0,FALSE,2386,0,TRUE,1,FALSE
"5","5841926366",2405,41,300,2016-04-29,2016-07-27,0,0,"CloudKit-5d959e6b31cc8abd55b7596c0aa9cfede54994c176219a3d90a1e44d89de7bb36cd53f5ceb6c195f16f8a411206da270c4b2f382c61d5dae681dd7b08793fc18","Verizon","Midland","United States","Apple iPhone","Apple iPhone 5s","Flint-Saginaw-Bay City, MI","68.188.182.15","English","amplitude-ios/3.8.2","ios 9.3.2",FALSE,"iOS","Michigan","3.3.2","3.5.0",0,0,TRUE,473,2,TRUE,13,FALSE
"6","5947381880",230,10,31,2016-05-04,2016-07-11,0,0,"","Telstra","Brighton Beach","Australia","Apple iPhone","Apple iPhone 6s Plus","","101.181.181.223","English","amplitude-ios/3.8.1","ios 9.3.2",FALSE,"iOS","Victoria","3.3.2","3.4.0",0,0,FALSE,2988,0,TRUE,16,FALSE
"7","6591340808",53,1,11,2016-02-12,2016-07-02,0,0,"CloudKit-76b7407573a59514a84c66ddbff816ac82262e208e73d5a3b01fbb73acca2a6255144f07bb1a4cb28d6c9e1dce3f62eb17a9782840d4672a753c38777706058f","Vodafone.de","Hamburg","Germany","Apple iPhone","Apple iPhone 6 Plus","","109.47.2.204","German","amplitude-ios/3.8.1","ios 9.3.2",FALSE,"iOS","Hamburg","","3.4.0",0,0,FALSE,7999,0,TRUE,3,FALSE
"8","8386860254",11,1,0.5,2016-07-24,2016-07-24,0,0,"","Claro Brasil","Campo Grande","Brazil","Apple iPhone","Apple iPhone 5s","","179.214.142.14","Portuguese","amplitude-ios/3.8.2","ios 9.3.2",FALSE,"iOS","Mato Grosso do Sul","3.5.1","3.5.1",0,0,FALSE,873,0,TRUE,11,FALSE
"9","6590292004",46,1,3,2016-04-21,2016-07-22,0,0,"CloudKit-ce460df32dfefc10b6804ac3811c04e06f80327f27eed054b31dcaf5f430598e993591a957f1aab56b0ca5c3e0c12c7a966419781819feb9cc3db8e468a6bcfd","AT&T","Dallas","United States","Apple iPhone","Apple iPhone 6","Dallas-Ft. Worth, TX","166.137.106.202","English","amplitude-ios/3.8.2","ios 9.3.2",FALSE,"iOS","Texas","","3.5.1",0,0,FALSE,2650,0,TRUE,11,FALSE
"10","6035882764",146,6,29,2016-05-07,2016-07-08,1,0.99,"CloudKit-9f292d4d0ba717b945340fba0876c1b786b2c3353635254ca34a3ff1faf359e476d2fc253225538b9fe7841b7344a72811ea6d88aae233f26a6ef5f440406259","Nextel","Sapiranga","Brazil","Apple iPhone","Apple iPhone 6s","","177.156.15.134","Portuguese","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Rio Grande do Sul","3.3.3","3.4.0",0,0,FALSE,6949,0,TRUE,3,FALSE
